iter	Passed	Remaining
766	133848	4228871
767	134038	4229184
768	134201	4228658
769	134384	4228742
770	134570	4228925
771	134761	4229272
772	134927	4228820
773	135110	4228935
774	135300	4229242
775	135460	4228602
776	135643	4228689
777	135819	4228557
778	135994	4228398
779	136165	4228122
780	136346	4228143
781	136531	4228280
782	136715	4228413
783	136910	4228863
784	137085	4228695
785	137266	4228719
786	137443	4228612
787	137628	4228746
788	137778	4227840
789	137959	4227853
790	138131	4227595
791	138312	4227598
792	138487	4227435
793	138666	4227398
794	138849	4227492
795	139022	4227258
796	139176	4226454
797	139370	4226876
798	139556	4227033
799	139742	4227216
800	139919	4227109
801	140105	4227275
802	140277	4227007
803	140449	4226775
804	140623	4226569
805	140804	4226576
806	140985	4226590
807	141155	4226289
808	141339	4226386
809	141526	4226583
810	141688	4226031
811	141868	4226009
812	142046	4225927
813	142240	4226317
814	142425	4226450
815	142614	4226696
816	142816	4227333
817	142993	4227218
818	143159	4226788
819	143329	4226472
820	143511	4226501
821	143668	4225820
822	143852	4225913
823	144006	4225112
824	144184	4225042
825	144369	4225176
826	144540	4224885
827	144718	4224808
828	144892	4224602
829	145058	4224160
830	145244	4224317
831	145433	4224574
832	145607	4224358
833	145787	4224328
834	145958	4224058
835	146153	4224452
836	146332	4224401
837	146516	4224503
838	146695	4224455
839	146871	4224309
840	147059	4224515
841	147246	4224672
842	147427	4224671
843	147603	4224526
844	147774	4224258
845	147965	4224533
846	148152	4224704
847	148338	4224859
848	148525	4225008
849	148713	4225214
850	148891	4225123
851	149060	4224767
852	149245	4224890
853	149428	4224933
854	149586	4224301
855	149760	4224099
856	149923	4223579
857	150089	4223161
858	150290	4223693
859	150454	4223218
860	150651	4223679
861	150826	4223499
862	151009	4223546
863	151191	4223564
864	151366	4223373
865	151546	4223339
866	151706	4222752
867	151887	4222749
868	152067	4222724
869	152243	4222577
870	152427	4222630
871	152601	4222450
872	152778	4222318
873	152963	4222432
874	153143	4222376
875	153323	4222357
876	153583	4224521
877	153765	4224520
878	153991	4225746
879	154182	4226003
880	154357	4225818
881	154523	4225391
882	154689	4224970
883	154861	4224719
884	155045	4224782
885	155233	4224954
886	155395	4224422
887	155578	4224438
888	155757	4224382
889	155928	4224091
890	156109	4224058
891	156270	4223520
892	156450	4223465
893	156626	4223296
894	156796	4222993
895	156975	4222915
896	157160	4223020
897	157335	4222816
898	157535	4223321
899	157709	4223114
900	157880	4222812
901	158048	4222451
902	158230	4222464
903	158417	4222591
904	158596	4222510
905	158775	4222450
906	158954	4222381
907	159144	4222589
908	159318	4222388
909	159502	4222435
910	159679	4222301
911	159854	4222126
912	160031	4222005
913	160209	4221885
914	160395	4222007
915	160568	4221770
916	160747	4221684
917	160907	4221103
918	161085	4220994
919	161267	4220996
920	161449	4220999
921	161638	4221183
922	161813	4220993
923	161987	4220800
924	162165	4220674
925	162340	4220497
926	162523	4220531
927	162690	4220130
928	162863	4219888
929	163026	4219404
930	163203	4219287
931	163370	4218890
932	163556	4218982
933	163725	4218643
934	163907	4218644
935	164078	4218360
936	164268	4218553
937	164432	4218102
938	164632	4218552
939	164807	4218371
940	164987	4218316
941	165171	4218365
942	165365	4218672
943	165557	4218910
944	165733	4218756
945	165907	4218548
946	166109	4219038
947	166281	4218783
948	166463	4218762
949	166647	4218809
950	166824	4218676
951	166993	4218338
952	167190	4218704
953	167354	4218236
954	167536	4218231
955	167732	4218588
956	167907	4218402
957	168104	4218765
958	168287	4218766
959	168467	4218719
960	168648	4218658
961	168799	4217883
962	168975	4217728
963	169139	4217269
964	169295	4216608
965	169491	4216944
966	169658	4216551
967	169840	4216531
968	170015	4216355
969	170189	4216144
970	170376	4216259
971	170570	4216534
972	170758	4216656
973	170944	4216759
974	171111	4216351
975	171276	4215933
976	171439	4215450
977	171668	4216581
978	171836	4216213
979	172000	4215761
980	172173	4215520
981	172346	4215295
982	172526	4215218
983	172717	4215420
984	172892	4215240
985	173068	4215080
986	173237	4214755
987	173418	4214695
988	173613	4215007
989	173788	4214810
990	173978	4214976
991	174172	4215245
992	174341	4214915
993	174524	4214935
994	174716	4215140
995	174893	4215012
996	175072	4214921
997	175267	4215200
998	175422	4214537
999	175600	4214408
1000	175782	4214379
1001	175955	4214147
1002	176123	4213793
1003	176280	4213172
1004	176456	4213014
1005	176644	4213132
1006	176820	4212970
1007	177000	4212888
1008	177180	4212821
1009	177353	4212589
1010	177527	4212362
1011	177721	4212643
1012	177898	4212489
1013	178075	4212336
1014	178249	4212141
1015	178438	4212271
1016	178609	4211984
1017	178792	4211978
1018	178973	4211936
1019	179166	4212161
1020	179357	4212346
1021	179519	4211852
1022	179722	4212317
1023	179894	4212071
1024	180071	4211905
1025	180259	4212024
1026	180451	4212234
1027	180672	4213112
1028	180852	4213028
1029	181029	4212884
1030	181202	4212642
1031	181376	4212432
1032	181552	4212275
1033	181734	4212227
1034	181915	4212179
1035	182093	4212044
1036	182253	4211520
1037	182427	4211302
1038	182605	4211176
1039	182797	4211363
1040	182979	4211333
1041	183171	4211541
1042	183351	4211463
1043	183531	4211371
1044	183716	4211405
1045	183892	4211241
1046	184064	4210986
1047	184241	4210831
1048	184443	4211264
1049	184614	4210977
1050	184793	4210876
1051	184961	4210520
1052	185150	4210640
1053	185339	4210750
1054	185523	4210759
1055	185719	4211054
1056	185897	4210927
1057	186087	4211068
1058	186246	4210498
1059	186433	4210571
1060	186623	4210717
1061	186813	4210874
1062	186974	4210360
1063	187167	4210568
1064	187369	4210966
1065	187553	4210982
1066	187782	4211995
1067	187954	4211725
1068	188128	4211518
1069	188308	4211416
1070	188474	4211029
1071	188668	4211240
1072	188847	4211150
1073	189033	4211192
1074	189208	4210982
1075	189385	4210825
1076	189560	4210630
1077	189737	4210486
1078	189915	4210352
1079	190090	4210159
1080	190272	4210117
1081	190477	4210564
1082	190660	4210561
1083	190841	4210488
1084	191004	4210015
1085	191189	4210044
1086	191383	4210255
1087	191559	4210078
1088	191732	4209837
1089	191927	4210080
1090	192102	4209883
1091	192282	4209798
1092	192466	4209777
1093	192642	4209617
1094	192816	4209395
1095	192998	4209334
1096	193177	4209219
1097	193339	4208737
1098	193536	4209020
1099	193696	4208502
1100	193870	4208270
1101	194070	4208624
1102	194258	4208707
1103	194441	4208662
1104	194626	4208686
1105	194801	4208495
1106	195059	4210087
1107	195258	4210403
1108	195433	4210197
1109	195599	4209792
1110	195768	4209454
1111	195959	4209594
1112	196131	4209338
1113	196311	4209241
1114	196483	4208972
1115	196650	4208610
1116	196836	4208626
1117	197026	4208755
1118	197232	4209210
1119	197416	4209198
1120	197602	4209229
1121	197787	4209243
1122	197953	4208845
1123	198114	4208350
1124	198316	4208715
1125	198489	4208465
1126	198677	4208532
1127	198870	4208724
1128	199053	4208681
1129	199227	4208465
1130	199421	4208657
1131	199593	4208385
1132	199762	4208069
1133	199947	4208072
1134	200126	4207952
1135	200307	4207877
1136	200474	4207497
1137	200660	4207517
1138	200846	4207546
1139	201044	4207818
1140	201222	4207691
1141	201408	4207708
1142	201589	4207622
1143	201769	4207520
1144	201951	4207467
1145	202126	4207265
1146	202304	4207123
1147	202481	4206967
1148	202649	4206617
1149	202840	4206740
1150	203083	4207945
1151	203245	4207462
1152	203420	4207263
1153	203605	4207256
1154	203787	4207206
1155	203977	4207302
1156	204168	4207420
1157	204350	4207357
1158	204542	4207504
1159	204738	4207736
1160	204923	4207736
1161	205093	4207412
1162	205278	4207419
1163	205450	4207149
1164	205628	4206994
1165	205801	4206746
1166	205995	4206941
1167	206188	4207093
1168	206359	4206796
1169	206535	4206611
1170	206736	4206935
1171	206911	4206731
1172	207120	4207217
1173	207282	4206734
1174	207474	4206868
1175	207658	4206858
1176	207847	4206933
1177	208024	4206752
1178	208217	4206920
1179	208383	4206514
1180	208576	4206682
1181	208766	4206771
1182	208952	4206772
1183	209127	4206562
1184	209317	4206654
1185	209491	4206432
1186	209675	4206403
1187	209840	4205995
1188	210024	4205972
1189	210198	4205728
1190	210359	4205244
1191	210540	4205158
1192	210717	4204996
1193	210875	4204449
1194	211055	4204338
1195	211236	4204249
1196	211428	4204376
1197	211598	4204058
1198	211780	4203994
1199	211964	4203969
1200	212140	4203773
1201	212323	4203714
1202	212491	4203373
1203	212662	4203089
1204	212839	4202922
1205	213044	4203294
1206	213227	4203256
1207	213412	4203239
1208	213603	4203334
1209	213761	4202792
1210	213933	4202536
1211	214132	4202800
1212	214338	4203188
1213	214511	4202941
1214	214687	4202746
1215	214866	4202626
1216	215061	4202793
1217	215234	4202555
1218	215425	4202652
1219	215603	4202504
1220	215775	4202225
1221	215944	4201902
1222	216119	4201698
1223	216296	4201526
1224	216444	4200791
1225	216623	4200654
1226	216805	4200580
1227	216982	4200421
1228	217198	4200992
1229	217379	4200902
1230	217567	4200936
1231	217739	4200682
1232	217913	4200440
1233	218075	4199983
1234	218252	4199823
1235	218434	4199729
1236	218625	4199841
1237	218798	4199597
1238	218999	4199883
1239	219190	4199965
1240	219356	4199594
1241	219536	4199481
1242	219716	4199369
1243	219891	4199145
1244	220086	4199327
1245	220297	4199798
1246	220473	4199607
1247	220646	4199357
1248	220835	4199407
1249	220998	4198962
1250	221176	4198816
1251	221355	4198673
1252	221536	4198592
1253	221708	4198308
1254	221898	4198394
1255	222091	4198516
1256	222272	4198412
1257	222442	4198116
1258	222616	4197876
1259	222790	4197652
1260	222969	4197525
1261	223162	4197650
1262	223368	4198009
1263	223532	4197591
1264	223712	4197482
1265	223905	4197609
1266	224101	4197797
1267	224275	4197566
1268	224453	4197402
1269	224620	4197050
1270	224802	4196971
1271	224997	4197120
1272	225203	4197483
1273	225389	4197481
1274	225559	4197182
1275	225739	4197060
1276	225933	4197188
1277	226096	4196768
1278	226266	4196462
1279	226438	4196185
1280	226628	4196245
1281	226797	4195923
1282	226967	4195628
1283	227155	4195658
1284	227329	4195429
1285	227517	4195447
1286	227685	4195113
1287	227866	4195003
1288	228046	4194887
1289	228222	4194698
1290	228393	4194417
1291	228577	4194361
1292	228739	4193909
1293	228926	4193922
1294	229102	4193728
1295	229271	4193398
1296	229441	4193094
1297	229622	4193007
1298	229796	4192760
1299	229963	4192402
1300	230135	4192149
1301	230358	4192810
1302	230528	4192500
1303	230716	4192538
1304	230880	4192123
1305	231067	4192118
1306	231248	4192016
1307	231424	4191828
1308	231602	4191664
1309	231780	4191508
1310	231961	4191403
1311	232122	4190946
1312	232315	4191048
1313	232499	4191015
1314	232684	4190978
1315	232858	4190739
1316	233052	4190881
1317	233231	4190727
1318	233393	4190288
1319	233591	4190482
1320	233760	4190177
1321	233946	4190163
1322	234136	4190214
1323	234323	4190211
1324	234501	4190050
1325	234687	4190032
1326	234861	4189808
1327	235051	4189860
1328	235232	4189754
1329	235404	4189489
1330	235586	4189397
1331	235768	4189319
1332	235950	4189222
1333	236121	4188946
1334	236288	4188583
1335	236485	4188760
1336	236680	4188908
1337	236865	4188876
1338	237038	4188623
1339	237217	4188480
1340	237408	4188557
1341	237583	4188331
1342	237763	4188213
1343	237944	4188113
1344	238115	4187825
1345	238314	4188032
1346	238485	4187746
1347	238669	4187691
1348	238828	4187197
1349	239017	4187235
1350	239212	4187364
1351	239389	4187184
1352	239559	4186887
1353	239753	4187004
1354	239934	4186903
