,Start,End,Duration
385,1527608.204,1542769.794,15161.590000000084
386,1527608.601,1540436.669,12828.06799999997
387,1527670.654,1542424.125,14753.470999999903
388,1527677.316,1539086.153,11408.836999999825
389,1527677.973,1542164.615,14486.641999999993
390,1527692.349,1539313.707,11621.358000000007
391,1527693.405,1539831.841,12138.435999999987
392,1527694.449,1539593.412,11898.962999999989
393,1527766.221,1536635.087,8868.866000000155
394,1527770.473,1537326.244,9555.77099999995
395,1527843.633,1537265.368,9421.735000000102
396,1527845.447,1539745.431,11899.984000000171
397,1527846.208,1536980.719,9134.51099999994
398,1527847.302,1539863.032,12015.729999999981
399,1527869.612,1547521.391,19651.779000000097
400,1528199.387,1542251.313,14051.925999999978
401,1528108.133,1536807.977,8699.844000000041
402,1540991.626,1542942.062,1950.435999999987
403,1528110.656,1537499.042,9388.38599999994
404,1528113.006,1539659.012,11546.006000000052
405,1537268.857,1537412.652,143.7949999999255
406,1528118.91,1547089.436,18970.52600000007
407,1528119.075,1541002.399,12883.324000000022
408,1528129.904,1539616.143,11486.238999999827
409,1528192.144,1537585.506,9393.361999999965
410,1528283.465,1539593.126,11309.660999999847
411,1528195.424,1536635.099,8439.674999999814
412,1528195.772,1541162.118,12966.345999999903
413,1528196.798,1547089.443,18892.64500000002
414,1535471.832,1537412.656,1940.8240000000224
415,1528201.594,1537931.058,9729.46399999992
416,1528209.915,1547201.799,18991.88400000008
417,1536663.465,1537173.087,509.6219999999739
418,1528220.626,1539687.988,11467.361999999965
419,1528280.783,1546311.795,18031.01199999987
420,1528290.432,1540436.673,12146.240999999922
421,1550594.772,1550594.798,0.025999999837949872
422,1528299.474,1537844.626,9545.152000000002
423,1528302.115,1537585.51,9283.395000000019
424,1528306.542,1536376.714,8070.1720000000205
425,1528361.843,1536807.983,8446.139999999898
426,1528363.365,1539400.089,11036.72399999993
427,1528366.144,1536635.104,8268.959999999963
428,1528368.177,1537499.046,9130.86900000018
429,1528368.903,1536376.724,8007.820999999996
430,1539954.502,1540609.437,654.934999999823
431,1541523.957,1542424.129,900.1720000000205
432,1528375.867,1537499.05,9123.18299999996
433,1528376.388,1538670.915,10294.527000000002
434,1528383.896,1540263.819,11879.922999999952
435,1534782.506,1538017.464,3234.9579999998678
436,1528465.955,1547607.811,19141.855999999912
437,1528388.775,1538103.91,9715.13500000001
438,1528447.242,1536918.546,8471.304000000004
439,1528456.065,1537259.619,8803.554000000004
440,1528457.197,1539659.016,11201.819000000134
441,1528462.41,1537326.253,8863.84300000011
442,1528462.565,1539313.72,10851.155000000028
443,1528472.003,1539400.093,10928.090000000084
444,1528483.132,1537949.469,9466.337000000058
445,1528707.367,1548990.216,20282.84899999993
446,1528723.44,1537412.662,8689.222000000067
447,1528797.425,1540492.672,11695.246999999974
448,1528802.935,1542164.619,13361.683999999892
449,1535972.735,1536807.988,835.2529999997932
450,1528804.451,1540200.348,11395.897000000114
451,1528808.083,1539595.337,10787.253999999957
452,1528815.64,1539745.435,10929.795000000158
453,1528832.233,1537239.85,8407.617000000086
454,1528877.239,1537499.055,8621.815999999875
455,1535970.327,1536635.116,664.7889999998733
456,1528887.938,1539745.439,10857.500999999931
457,1528968.12,1539400.098,10431.977999999886
458,1528971.321,1541732.612,12761.290999999968
459,1528979.337,1544012.915,15033.57799999998
460,1536573.775,1536654.724,80.94900000002235
461,1531916.443,1539400.102,7483.658999999985
462,1529058.114,1540436.678,11378.564000000013
463,1530628.078,1531883.506,1255.4280000000726
464,1539189.931,1539831.845,641.9139999998733
465,1529063.351,1548126.092,19062.74099999992
466,1536667.693,1536807.994,140.30099999997765
467,1529314.116,1537519.48,8205.36400000006
468,1529316.358,1536596.981,7280.622999999905
469,1543923.805,1545966.216,2042.41100000008
470,1537443.663,1537844.631,400.9680000001099
471,1537171.317,1537412.667,241.3499999998603
472,1529399.073,1536807.999,7408.925999999978
473,1529399.934,1536591.691,7191.757000000216
474,1529400.294,1540955.015,11554.720999999903
475,1529401.035,1543460.645,14059.610000000102
476,1529401.327,1542942.066,13540.73900000006
477,1529403.924,1537585.514,8181.589999999851
478,1529405.999,1543460.649,14054.649999999907
479,1529414.217,1545126.255,15712.037999999942
480,1529417.904,1537958.65,8540.74599999981
481,1529423.2,1540350.228,10927.027999999933
482,1529484.888,1540436.682,10951.793999999994
483,1538127.143,1538449.427,322.2839999999851
484,1529487.775,1537521.509,8033.734000000171
485,1539353.029,1540263.823,910.7939999999944
486,1529492.323,1538147.226,8654.902999999933
487,1529496.363,1549076.626,19580.263000000035
488,1529497.208,1537785.231,8288.022999999812
489,1531223.876,1536894.344,5670.46800000011
490,1529499.516,1536808.003,7308.486999999965
491,1529504.065,1537175.833,7671.7680000001565
492,1529507.901,1540955.021,11447.119999999879
493,1529509.01,1536808.008,7298.997999999905
494,1529510.014,1542200.742,12690.72800000012
495,1529573.222,1539313.728,9740.50599999982
496,1529576.656,1539163.504,9586.847999999998
497,1536850.884,1536855.556,4.672000000020489
498,1537436.076,1538449.431,1013.3550000002142
499,1529585.985,1537844.635,8258.649999999907
500,1529592.514,1536894.349,7301.834999999963
501,1540989.607,1540989.622,0.014999999897554517
502,1529598.9,1536595.424,6996.524000000209
503,1529599.05,1539079.359,9480.308999999892
504,1529602.469,1536914.592,7312.122999999905
505,1529608.355,1536827.469,7219.11400000006
506,1529658.702,1542100.108,12441.405999999959
507,1529932.285,1539227.21,9294.925000000047
508,1529663.929,1536808.018,7144.08899999992
